Gene,V,F,R,T,O_max
Gene_11983,1.0,8.0,5.327392120075047,8.5,0
Gene_11982,1.0,8.0,4.353658536585366,8.5,0
Gene_11981,1.0,8.0,3.4896810506566602,8.5,0
Gene_11980,1.0,8.0,4.890243902439025,8.5,0
Gene_11979,1.0,8.0,4.519699812382739,8.5,0
Gene_11978,1.0,8.0,4.932457786116323,8.5,0
Gene_11977,1.0,8.0,6.209193245778612,8.5,0
Gene_11976,1.0,8.0,5.964352720450281,8.5,0
Gene_11975,1.0,8.0,6.257035647279549,8.5,0
Gene_11974,1.0,8.0,4.681988742964353,8.5,0
Gene_11973,1.0,8.0,4.51219512195122,8.5,0
Gene_11972,1.0,8.0,5.706378986866792,8.5,0
Gene_11971,1.0,8.0,6.511257035647279,8.5,0
Gene_11970,1.0,8.0,5.848968105065666,8.5,0
Gene_11969,1.0,8.0,5.670731707317074,8.5,0
Gene_11968,1.0,8.0,5.049718574108818,8.5,0
Gene_31,1.0,8.0,3.3986866791744843,8.5,0
Gene_30,1.0,8.0,7.176360225140713,8.5,0
Gene_29,1.0,8.0,4.534709193245778,8.5,0
Gene_28,1.0,8.0,4.706378986866792,8.5,0
Gene_27,1.0,8.0,3.4071294559099434,8.5,0
Gene_26,1.0,8.0,4.663227016885553,8.5,0
Gene_25,1.0,8.0,3.8621013133208253,8.5,0
Gene_24,1.0,8.0,5.612570356472796,8.5,0
Gene_23,1.0,8.0,5.4718574108818006,8.5,0
Gene_22,1.0,8.0,5.026266416510319,8.5,0
Gene_21,1.0,8.0,4.962476547842401,8.5,0
Gene_20,1.0,8.0,5.152908067542214,8.5,0
Gene_19,1.0,8.0,6.315196998123827,8.5,0
Gene_18,1.0,8.0,4.368667917448405,8.5,0
Gene_17,1.0,8.0,5.315196998123827,8.5,0
Gene_16,1.0,8.0,5.696998123827393,8.5,0
Gene_47,1.0,8.0,6.26078799249531,8.5,0
Gene_46,1.0,8.0,5.135084427767355,8.5,0
Gene_45,1.0,8.0,4.392120075046904,8.5,0
Gene_44,1.0,8.0,3.74015009380863,8.5,0
Gene_43,1.0,8.0,4.954971857410882,8.5,0
Gene_42,1.0,8.0,5.336772983114447,8.5,0
Gene_41,1.0,8.0,4.221388367729832,8.5,0
Gene_40,1.0,8.0,5.829268292682927,8.5,0
Gene_39,1.0,8.0,5.242026266416511,8.5,0
Gene_38,1.0,8.0,3.9071294559099434,8.5,0
Gene_37,1.0,8.0,4.142589118198874,8.5,0
Gene_36,1.0,8.0,5.044090056285179,8.5,0
Gene_35,1.0,8.0,5.317073170731708,8.5,0
Gene_34,1.0,8.0,5.355534709193246,8.5,0
Gene_33,1.0,8.0,4.106003752345216,8.5,0
Gene_32,1.0,8.0,5.754221388367729,8.5,0
Gene_63,1.0,8.0,3.963414634146342,8.5,0
Gene_62,1.0,8.0,3.965290806754221,8.5,0
Gene_61,1.0,8.0,5.017823639774859,8.5,0
Gene_60,1.0,8.0,4.606003752345216,8.5,0
Gene_59,1.0,8.0,5.830206378986866,8.5,0
Gene_58,1.0,8.0,4.649155722326454,8.5,0
Gene_57,1.0,8.0,3.98311444652908,8.5,0
Gene_56,1.0,8.0,6.46998123827392,8.5,0
Gene_55,1.0,8.0,3.0318949343339585,8.5,0
Gene_54,1.0,8.0,5.25703564727955,8.5,0
Gene_53,1.0,8.0,4.24296435272045,8.5,0
Gene_52,1.0,8.0,4.576923076923077,8.5,0
Gene_51,1.0,8.0,4.877110694183865,8.5,0
Gene_50,1.0,8.0,4.429643527204503,8.5,0
Gene_49,1.0,8.0,3.4868667917448404,8.5,0
Gene_48,1.0,8.0,4.1604127579737336,8.5,0
Gene_79,1.0,8.0,4.452157598499062,8.5,0
Gene_78,1.0,8.0,5.258911819887429,8.5,0
